timestamp,anchor,mac,rssi,true_x,true_y
1785929713915,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,2.000
1785929713933,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,2.000
1785929713934,ANCHOR_03,52:06:26:03:01:DA,-90,3.200,2.000
1785929716000,ANCHOR_02,52:06:26:03:01:DA,-87,3.200,2.000
1785929716018,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,2.000
1785929716018,ANCHOR_03,52:06:26:03:01:DA,-89,3.200,2.000
1785929716368,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,2.000
1785929716417,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,2.000
1785929716452,ANCHOR_03,52:06:26:03:01:DA,-89,3.200,2.000
1785929716525,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,2.000
1785929716615,ANCHOR_03,52:06:26:03:01:DA,-89,3.200,2.000
1785929716676,ANCHOR_02,52:06:26:03:01:DA,-87,3.200,2.000
1785929716779,ANCHOR_02,52:06:26:03:01:DA,-87,3.200,2.000
1785929716911,ANCHOR_03,52:06:26:03:01:DA,-88,3.200,2.000
1785929716940,ANCHOR_03,52:06:26:03:01:DA,-89,3.200,1.900
1785929717031,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,2.000
1785929717246,ANCHOR_02,52:06:26:03:01:DA,-88,3.200,1.986
1785929717444,ANCHOR_03,52:06:26:03:01:DA,-90,3.200,1.986
1785929717473,ANCHOR_01,52:06:26:03:01:DA,-90,3.200,1.426
1785929717633,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.986
1785929717730,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.900
1785929717775,ANCHOR_02,52:06:26:03:01:DA,-87,3.200,1.900
1785929717822,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.719
1785929717826,ANCHOR_01,52:06:26:03:01:DA,-90,2.828,1.409
1785929717870,ANCHOR_03,52:06:26:03:01:DA,-90,3.200,1.719
1785929717899,ANCHOR_02,52:06:26:03:01:DA,-85,3.200,1.719
1785929717940,ANCHOR_02,52:06:26:03:01:DA,-85,3.200,1.527
1785929717975,ANCHOR_03,52:06:26:03:01:DA,-90,3.200,1.527
1785929718011,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.527
1785929718003,ANCHOR_02,52:06:26:03:01:DA,-90,1.959,1.409
1785929718041,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,1.426
1785929718093,ANCHOR_03,52:06:26:03:01:DA,-91,3.200,1.426
1785929718132,ANCHOR_03,52:06:26:03:01:DA,-91,3.200,1.409
1785929718163,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,1.409
1785929718228,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.409
1785929718277,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,1.409
1785929718304,ANCHOR_01,52:06:26:03:01:DA,-90,3.200,1.409
1785929718319,ANCHOR_03,52:06:26:03:01:DA,-91,3.200,1.409
1785929718336,ANCHOR_03,52:06:26:03:01:DA,-91,3.200,1.409
1785929718367,ANCHOR_02,52:06:26:03:01:DA,-86,3.200,1.409
1785929718444,ANCHOR_01,52:06:26:03:01:DA,-91,3.200,1.409
1785929718478,ANCHOR_03,52:06:26:03:01:DA,-91,3.170,1.409
1785929718531,ANCHOR_02,52:06:26:03:01:DA,-85,3.170,1.409
1785929718565,ANCHOR_01,52:06:26:03:01:DA,-90,3.170,1.409
1785929718596,ANCHOR_03,52:06:26:03:01:DA,-91,3.043,1.409
1785929718616,ANCHOR_01,52:06:26:03:01:DA,-89,3.043,1.409
1785929718639,ANCHOR_02,52:06:26:03:01:DA,-85,3.043,1.409
1785929719428,ANCHOR_03,52:06:26:03:01:DA,-90,2.828,1.409
1785929720492,ANCHOR_02,52:06:26:03:01:DA,-87,2.828,1.409
1785929720839,ANCHOR_03,52:06:26:03:01:DA,-91,2.534,1.409
1785929721653,ANCHOR_02,52:06:26:03:01:DA,-88,2.534,1.409
1785929722480,ANCHOR_01,52:06:26:03:01:DA,-87,2.534,1.409
1785929723074,ANCHOR_01,52:06:26:03:01:DA,-87,2.251,1.409
1785929723704,ANCHOR_03,52:06:26:03:01:DA,-91,2.251,1.409
